painting of a man in a black coat and hat with a pipe sticking out of his nose, a surrealist painting by Carel Willink, deviantart, magic realism, vdragan bibin, artist unknown, rene margritte
painting of a man with antlers on his head wearing a suit, a portrait by Karel Dujardin, Artstation, realism, kent monkman, aykut aydogdu, adrian borda
painting of a pink house with a red roof and a full moon, a painting inspired by Grant Wood, flickr, modernism, tom hammick, pink moon, joel sternfeld
there is a small figurine of a man and a woman standing next to a popsicle, digital art by Chris LaBrooy, unsplash, conceptual art, tiny people devouring food, 3d minimalistic art, miniature photography
painting of a dog standing in front of a house with a lawn chair, a photorealistic painting inspired by Cassius Marcellus Coolidge, cg society contest winner, american realism, summer afternoon, painting of, van allsburg
there is a duck that is writing a book with birds around him, a photorealistic painting inspired by Gillis d'Hondecoeter, Artstation, conceptual art, michael sowa, van allsburg, subject= duck
painting of a doll sitting on a blue chair in a room, a surrealist painting inspired by Mark Ryden, deviantart, pop surrealism, mark ryden style, style of mark ryden, mark ryden in the style of
painting of a woman in a white dress holding an umbrella and a dog, a surrealist painting by Julio Larraz, tumblr, modernism, raphael lecoste, bo bartlett, john stephens
painting of a woman in a red dress looking at a red heart, a surrealist painting inspired by Rafal Olbinski, deviantart, magic realism, amy judd, she arrived in a red dress, monia merlo
painting of a parking lot with cars parked in front of a red building, a fine art painting by Reinier Nooms, tumblr, magic realism, in style of joel meyerowitz, john schoenherr, wayne haag
painting of a bicycle parked in front of a row of houses, an oil on canvas painting by Jan Rustem, tumblr, naive art, calm evening, van lieven, dutch style painting
painting of three men with bicycles standing in a field with palm trees, a fine art painting by Clarence Holbrook Carter, tumblr, magic realism, city scene, pj crook, john caple
painting of two bald men with glasses and a green background, a portrait by Mark Ryden, deviantart, magic realism, style of mark ryden, mark ryden style, mark ryden in the style of
painting of a woman walking down a street at night with a star shining, a surrealist painting by Michel Delacroix, tumblr, naive art, rob mcnaughton, strong light, into bright light
painting of a house with a wheelbarrow and a field of grass, a painting by Gilles Beloeil, tumblr, naive art, van allsburg, victor charreton, angus mcbride
painting of a stage with a chair and a chair on a lake, a surrealist painting by John Blair, tumblr, modernism, ji-min, tranquillity, modernist
painting of a man in a suit standing on a path in a forest, a surrealist painting inspired by David Inshaw, unsplash, naive art, ( ( ( grant wood ) ) ), rene margritte, standing in the forrest
painting of a woman in a green dress standing in front of a blue door, a surrealist painting by George Tooker, tumblr, modernism, aron wiesenfeld, bo bartlett, dragan bibin
arafed picture of a little girl pointing at a potted plant, an oil painting by Christoffer Wilhelm Eckersberg, tumblr, conceptual art, bo bartlett, francine van hove, michael sowa
painting of a pair of shoes sitting on a dirt road in front of a house, a surrealist painting by David Inshaw, tumblr, magic realism, john caple, van allsburg, michael sowa
