Cerulean Blue, Sky Blue, Teal, Aquamarine, Indigo
Burnt Sienna, Olive Green, Terracotta, Mustard Yellow, Chestnut Brown
Baby Pink, Lavender, Mint Green, Peach, Light Blue
Lemon Yellow, Tangerine Orange, Lime Green, Electric Blue, Hot Pink
Rust Orange, Deep Red, Golden Yellow, Olive Green, Plum Purple
Ivory, Light Gray, Beige, Muted Sage, Soft Lilac
Turquoise, Coral, Lime Green, Sunshine Yellow, Fuchsia
Pastel Pink, Pale Yellow, Light Green, Lilac, Sky Blue
Sand Beige, Burnt Orange, Dusty Rose, Cactus Green, Warm Brown
Slate Gray, Steel Blue, Charcoal Gray, Silver, Pearl White
Bubblegum Pink, Lemonade Yellow, Cotton Candy Blue, Mint Green, Lavender
Moss Green, Emerald Green, Pine Green, Olive, Dark Teal
Mustard Yellow, Rust Red, Avocado Green, Burnt Orange, Teal
Coral Pink, Peachy Orange, Golden Yellow, Mauve, Deep Purple
Lime Green, Lemon Yellow, Orange Zest, Grapefruit Pink, Bright Turquoise
Turquoise, Aqua, Sky Blue, Seafoam Green, Sandy Beige
Deep Purple, Navy Blue, Burgundy, Emerald Green, Gold
Pastel Yellow, Soft Pink, Pale Blue, Mint Green, Lavender
Burnt Sienna, Copper, Mustard Yellow, Olive Green, Terracotta
Soft Peach, Baby Blue, Lilac, Pale Green, Rose Quartz
Warm Brown, Dusty Pink, Sage Green, Beige, Dark Gray
Coral Pink, Mango Orange, Vibrant Purple, Lime Green, Turquoise
Black, White, Silver, Charcoal Gray, Ivory
Navy Blue, Teal, Sea Green, Deep Turquoise, Sapphire
Pink, Mint Green, Lavender, Peach, Sky Blue
Terracotta, Olive Green, Burnt Orange, Mustard Yellow, Deep Red
Emerald Green, Plum Purple, Moss Green, Chestnut Brown, Soft Pink
Dusty Rose, Antique Gold, Pale Lilac, Sage Green, Champagne
Slate Gray, Burgundy, Cream, Midnight Blue, Olive Green
Aquamarine, Pale Blue, Seafoam Green, Turquoise, Indigo
